Filename;ID;Species
1504695082.jpg;1504695082;Bechsteinfledermaus
1504714350.jpg;1504714350;Bechsteinfledermaus
1504715079.jpg;1504715079;Bechsteinfledermaus
1504716272.jpg;1504716272;Bechsteinfledermaus
1504716318.jpg;1504716318;Bechsteinfledermaus
1504718054.jpg;1504718054;Bartfledermaus
1504718972.jpg;1504718972;Bechsteinfledermaus
1504719015.jpg;1504719015;Bechsteinfledermaus
1504719207.jpg;1504719207;Bartfledermaus
1504719281.jpg;1504719281;Bechsteinfledermaus
1504719944.jpg;1504719944;Bartfledermaus
1504720624.jpg;1504720624;Bechsteinfledermaus
1504720643.jpg;1504720643;Bechsteinfledermaus
1504720659.jpg;1504720659;Bartfledermaus
1504720691.jpg;1504720691;Bartfledermaus
1504720786.jpg;1504720786;Bartfledermaus
1504720864.jpg;1504720864;Bartfledermaus
1504721195.jpg;1504721195;Bartfledermaus
1504721376.jpg;1504721376;Bechsteinfledermaus
1504721406.jpg;1504721406;Bartfledermaus
1504721525.jpg;1504721525;Bartfledermaus
1504721646.jpg;1504721646;Bechsteinfledermaus
1504721752.jpg;1504721752;Bartfledermaus
1504721788.jpg;1504721788;Bartfledermaus
1504722090.jpg;1504722090;Bartfledermaus
1504724215.jpg;1504724215;Bartfledermaus
1504724280.jpg;1504724280;Bechsteinfledermaus
1504724600.jpg;1504724600;Wasserfledermaus
1504867470.jpg;1504867470;Bechsteinfledermaus
1504867521.jpg;1504867521;Bechsteinfledermaus
1504870383.jpg;1504870383;Bechsteinfledermaus
1504887876.jpg;1504887876;Bartfledermaus
1504889601.jpg;1504889601;Mausohr
1504890726.jpg;1504890726;Bartfledermaus
1504891810.jpg;1504891810;Mausohr
1504892182.jpg;1504892182;Bartfledermaus
1504892610.jpg;1504892610;Bartfledermaus
1505115011.jpg;1505115011;Bechsteinfledermaus
1505115114.jpg;1505115114;Bechsteinfledermaus
1505151056.jpg;1505151056;Bartfledermaus
1505151430.jpg;1505151430;Bartfledermaus
1505151745.jpg;1505151745;Bechsteinfledermaus
1505151798.jpg;1505151798;Bechsteinfledermaus
1505152210.jpg;1505152210;Bechsteinfledermaus
1505152248.jpg;1505152248;Fransenfledermaus
1505152262.jpg;1505152262;Bechsteinfledermaus
1505152432.jpg;1505152432;Bechsteinfledermaus
1505152487.jpg;1505152487;Bechsteinfledermaus
1505152559.jpg;1505152559;Bechsteinfledermaus
1505152663.jpg;1505152663;Bechsteinfledermaus
1505152802.jpg;1505152802;Bechsteinfledermaus
1506707657.jpg;1506707657;Bechsteinfledermaus
1506708616.jpg;1506708616;Bechsteinfledermaus
1506708624.jpg;1506708624;Bechsteinfledermaus
1506708770.jpg;1506708770;Bechsteinfledermaus
1506709063.jpg;1506709063;Fransenfledermaus
1506709224.jpg;1506709224;Fransenfledermaus
1506709375.jpg;1506709375;Bechsteinfledermaus
1506709794.jpg;1506709794;Wasserfledermaus
1506709848.jpg;1506709848;Wasserfledermaus
1506709964.jpg;1506709964;Wasserfledermaus
1506710302.jpg;1506710302;Wasserfledermaus
1506711108.jpg;1506711108;Bartfledermaus
1506711346.jpg;1506711346;Bechsteinfledermaus
1506711535.jpg;1506711535;Bartfledermaus
1506711562.jpg;1506711562;Bartfledermaus
1506711743.jpg;1506711743;Bartfledermaus
1506711760.jpg;1506711760;Bechsteinfledermaus
1506711768.jpg;1506711768;Bartfledermaus
1506711900.jpg;1506711900;Bartfledermaus
1506712021.jpg;1506712021;Bechsteinfledermaus
1506712118.jpg;1506712118;Bechsteinfledermaus
1506712455.jpg;1506712455;Bartfledermaus
1506712737.jpg;1506712737;Bechsteinfledermaus
1506713340.jpg;1506713340;Bartfledermaus
1506713370.jpg;1506713370;Bartfledermaus
1506713421.jpg;1506713421;Bartfledermaus
1506713540.jpg;1506713540;Bechsteinfledermaus
1506713798.jpg;1506713798;Bartfledermaus
1506713873.jpg;1506713873;Bartfledermaus
1506714434.jpg;1506714434;Bartfledermaus
1506714523.jpg;1506714523;Bechsteinfledermaus
1506714574.jpg;1506714574;Bartfledermaus
1506715173.jpg;1506715173;Bartfledermaus
1506715239.jpg;1506715239;Bechsteinfledermaus
1506715347.jpg;1506715347;Bechsteinfledermaus
1506715739.jpg;1506715739;Bechsteinfledermaus
1506715862.jpg;1506715862;Bechsteinfledermaus
